t[ms], PWM[us],Empuxo,TempAmbiente,TempMotor,Tensao,Corrente, RPM
0,1500,0.05,27.37,30.79,0.18,3.28,0.00
4699,1550,0.29,27.86,30.79,0.18,3.37,0.00
5199,1550,0.29,27.37,30.79,0.15,3.64,0.00
5699,1550,0.39,27.37,31.28,0.15,3.48,0.00
6199,1550,0.09,27.37,31.28,0.16,3.46,0.00
6699,1550,0.26,27.37,30.79,0.16,3.40,0.00
7199,1550,0.55,28.35,31.28,0.15,3.59,0.00
7699,1550,0.51,26.88,30.79,0.15,3.38,0.00
8199,1550,0.33,27.37,30.79,0.16,3.57,0.00
8699,1550,0.38,27.37,30.79,0.15,3.83,0.00
9199,1550,0.31,27.86,30.79,0.15,3.56,0.00
9699,1550,0.28,27.37,30.79,0.15,3.49,0.00
10199,1550,0.40,27.86,30.79,0.15,3.46,0.00
10699,1550,0.50,27.37,31.28,0.16,3.63,0.00
14977,1600,0.54,27.37,30.79,0.18,3.45,0.00
15477,1600,0.56,27.37,30.79,0.15,3.51,0.00
15977,1600,0.42,26.88,30.79,0.14,3.58,0.00
16477,1600,0.32,28.35,30.79,0.16,3.81,0.00
16977,1600,0.46,27.37,30.79,0.16,4.07,0.00
17477,1600,0.35,26.88,30.79,0.15,4.78,0.00
17977,1600,0.56,27.37,31.28,0.16,3.50,0.00
18478,1600,0.52,27.86,30.79,0.16,3.61,0.00
18978,1600,0.61,27.37,30.79,0.15,3.54,0.00
19478,1600,0.24,27.37,30.79,0.15,3.64,0.00
19978,1600,0.54,27.37,30.30,0.15,4.12,0.00
20478,1600,0.40,27.37,31.28,0.15,3.89,0.00
24897,1650,0.44,28.35,30.79,0.16,4.14,0.00
25397,1650,0.38,27.37,30.79,0.16,4.35,0.00
25897,1650,0.66,27.37,30.79,0.16,4.33,0.00
26397,1650,0.25,27.86,30.79,0.15,3.76,0.00
26897,1650,0.44,26.88,30.79,0.15,4.41,0.00
27397,1650,0.49,27.37,30.79,0.15,3.85,0.00
27897,1650,0.67,27.86,30.79,0.16,4.32,0.00
28397,1650,0.38,27.37,31.28,0.16,4.29,0.00
28897,1650,0.35,28.35,30.30,0.15,4.08,0.00
29397,1650,0.56,27.86,30.79,0.15,3.92,0.00
29897,1650,0.30,27.37,30.30,0.17,3.72,0.00
30397,1650,0.38,27.37,30.79,0.16,4.11,0.00
30897,1650,0.27,27.37,30.79,0.15,4.76,0.00
35166,1700,0.12,27.86,30.79,0.17,4.34,0.00
35666,1700,0.14,27.37,30.79,0.15,4.34,0.00
36166,1700,0.00,27.37,31.28,0.15,4.15,0.00
36666,1700,0.45,27.37,30.79,0.16,4.58,0.00
37166,1700,0.38,27.86,30.79,0.16,4.42,0.00
37666,1700,0.20,26.88,30.30,0.15,4.52,0.00
38166,1700,0.46,27.37,30.79,0.16,4.41,0.00
38666,1700,0.42,27.37,30.79,0.16,4.07,0.00
39166,1700,0.29,27.37,30.30,0.15,4.13,0.00
39666,1700,0.14,27.37,30.79,0.15,4.64,0.00
40166,1700,0.45,27.37,30.79,0.15,4.57,0.00
40666,1700,0.31,27.37,30.79,0.15,4.25,0.00
41166,1700,0.46,27.37,30.79,0.15,4.16,0.00
45438,1750,0.31,28.35,30.79,0.17,4.18,0.00
45938,1750,1.03,27.86,30.79,0.15,4.19,0.00
46438,1750,0.57,27.86,30.79,0.15,4.17,0.00
46938,1750,0.55,27.37,30.30,0.16,4.47,0.00
47438,1750,0.58,27.37,30.30,0.16,4.28,0.00
47938,1750,0.32,27.86,31.28,0.15,4.00,0.00
48438,1750,0.48,27.37,30.79,0.16,4.15,0.00
48938,1750,0.57,27.37,31.28,0.16,4.15,0.00
49438,1750,0.28,27.86,30.79,0.15,4.55,0.00
49938,1750,0.65,27.37,30.30,0.14,4.46,0.00
50438,1750,0.17,27.37,31.28,0.16,4.17,0.00
50938,1750,0.42,27.37,31.28,0.16,4.37,0.00
51438,1750,0.28,27.37,30.79,0.15,4.19,0.00
55711,1800,0.17,27.37,31.28,0.16,4.13,0.00
56211,1800,0.49,28.35,30.79,0.16,4.40,0.00
56711,1800,0.22,27.37,30.79,0.16,4.67,0.00
57211,1800,0.43,27.37,31.28,0.15,4.11,0.00
57711,1800,0.30,27.37,30.79,0.15,5.10,0.00
58211,1800,0.47,27.37,31.28,0.15,4.06,0.00
58711,1800,-0.05,27.86,30.79,0.16,4.52,0.00
59211,1800,0.41,27.37,30.79,0.15,4.21,0.00
59711,1800,0.44,27.86,30.30,0.15,4.62,0.00
60211,1800,0.44,26.88,30.79,0.14,4.16,0.00
60711,1800,0.40,27.86,31.28,0.16,4.25,0.00
61211,1800,0.46,28.35,31.28,0.16,4.80,0.00
61711,1800,0.25,27.37,30.79,0.15,4.12,0.00
65984,1850,0.27,27.86,31.28,0.17,4.37,0.00
66484,1850,0.58,27.86,30.30,0.15,4.51,0.00
66984,1850,0.49,27.37,30.79,0.15,4.22,0.00
67484,1850,0.53,27.37,30.79,0.16,3.89,0.00
67984,1850,0.40,27.86,30.79,0.16,4.08,0.00
68484,1850,0.62,27.86,31.28,0.15,4.07,0.00
68984,1850,0.43,27.37,30.79,0.16,4.20,0.00
69484,1850,0.43,27.37,30.79,0.15,4.51,0.00
69984,1850,0.35,27.37,31.28,0.15,4.50,0.00
70484,1850,0.79,27.86,30.79,0.15,4.57,0.00
70984,1850,0.06,27.86,30.79,0.15,4.30,0.00
71484,1850,0.35,27.37,30.79,0.15,4.02,0.00
71984,1850,0.71,27.37,31.28,0.16,4.07,0.00
76257,1900,0.45,27.86,30.79,0.17,4.52,0.00
76757,1900,0.37,27.37,30.79,0.16,4.06,0.00
77257,1900,0.74,27.86,31.28,0.15,4.00,0.00
77757,1900,0.59,27.37,31.28,0.15,4.04,0.00
78257,1900,0.57,27.37,30.79,0.14,4.06,0.00
78757,1900,0.59,27.86,30.79,0.16,4.58,0.00
79257,1900,0.43,27.37,31.28,0.15,4.10,0.00
79757,1900,0.30,26.88,30.79,0.15,4.42,0.00
80257,1900,0.91,27.37,30.79,0.16,4.33,0.00
80757,1900,0.11,27.86,31.28,0.15,4.58,0.00
81257,1900,0.31,26.88,31.28,0.16,4.67,0.00
81757,1900,0.72,27.37,31.28,0.16,4.32,0.00
82257,1900,0.48,27.37,30.79,0.15,4.52,0.00
86531,1950,0.37,28.35,30.79,0.16,4.43,0.00
87031,1950,0.49,27.37,30.79,0.16,4.61,0.00
87531,1950,0.42,27.37,31.28,0.16,4.32,0.00
88031,1950,0.64,27.37,31.28,0.15,4.44,0.00
88531,1950,0.43,27.37,31.28,0.15,4.51,0.00
89031,1950,0.43,27.37,31.28,0.15,4.37,0.00
89531,1950,0.40,27.37,30.79,0.16,4.04,0.00
90031,1950,0.44,27.37,30.30,0.16,4.28,0.00
90531,1950,0.48,27.37,30.79,0.15,4.46,0.00
91031,1950,0.44,27.37,31.28,0.14,4.42,0.00
91531,1950,0.66,27.37,31.28,0.16,4.56,0.00
92031,1950,0.62,27.86,30.79,0.16,4.82,0.00
92531,1950,0.65,27.37,30.79,0.15,4.79,0.00
96803,2000,0.54,27.37,31.28,0.16,4.33,0.00
97303,2000,0.31,28.35,30.30,0.16,4.21,0.00
97803,2000,0.39,27.37,30.79,0.15,4.30,0.00
98303,2000,0.35,27.37,31.28,0.16,4.25,0.00
98803,2000,0.65,27.37,31.28,0.15,4.15,0.00
99303,2000,0.30,27.86,31.28,0.15,4.15,0.00
99803,2000,0.54,27.37,30.79,0.16,4.08,0.00
100303,2000,0.14,27.86,31.28,0.16,4.43,0.00
100803,2000,0.57,27.37,30.79,0.14,4.67,0.00
101303,2000,0.39,27.37,31.28,0.14,4.11,0.00
101803,2000,0.36,27.37,30.79,0.16,4.34,0.00
102303,2000,0.33,27.37,30.79,0.16,4.40,0.00
102803,2000,0.05,27.86,31.28,0.15,4.57,0.00
